states,mean,std
0,2.9e-4,0
1,4.5e-4,0
2,6.1e-4,0
3,7.6e-4,0
4,9.1e-4,0
5,1.1e-3,0
6,1.2e-3,0
7,1.4e-3,0
8,1.5e-3,0
9,1.7e-3,0
10,1.8e-3,0
11,2.0e-3,0
12,2.1e-3,0
13,2.3e-3,0
14,2.4e-3,0
15,2.6e-3,0
